ID	symbol	synonyms
1918911	0610005C13Rik	
1923503	0610006L08Rik	
1925547	0610008J02Rik	
1913300	0610009B22Rik	
3698435	0610009E02Rik	
1918921	0610009F21Rik	
1918931	0610009K14Rik	
1914088	0610009L18Rik	
1915609	0610010K14Rik	
1918926	0610012D04Rik	
1925548	0610012E21Rik	
1913301	0610012G03Rik	
1915618	0610025J13Rik	
1915614	0610030E20Rik	
1925549	0610031C06Rik	
1921093	0610031I08Rik	
1915619	0610031O16Rik	
1925551	0610033I19Rik	
1921343	0610033M10Rik	
1925613	0610033P13Rik	
1925614	0610037L18Rik	
1917595	0610038B21Rik	
1922649	0610039G09Rik	
1915647	0610039H22Rik	
1915636	0610039K10Rik	
1915626	0610040A22Rik	
1914922	0610040B10Rik	
1922644	0610040F04Rik	
1923511	0610040J01Rik	
1918938	0610042B02Rik	
1922652	0610042B23Rik	
1921345	0610042E11Rik	
1915630	0610042G04Rik	
1915650	0610043K17Rik	
1915652	0710001A04Rik	
1914929	0710001D07Rik	
1915664	0710001L09Rik	
1918942	0710005I21Rik	
1915659	0710007G10Rik	
1918947	0710008F09Rik	
1918945	0910001E24Rik	
1922653	1010001B22Rik	
1915683	1010001I08Rik	
1922655	1100001I12Rik	
1920975	1110001D16Rik	
1915702	1110001M07Rik	
1915066	1110002E22Rik	
1915738	1110002J07Rik	
1915821	1110002L01Rik	
1915733	1110002O04Rik	
1915716	1110003F02Rik	
1915726	1110003F10Rik	
1929274	1110004F10Rik	sid2057
1915714	1110004M10Rik	
1923536	1110006E14Rik	
1913373	1110006O24Rik	
1915732	1110007E10Rik	
1915750	1110008E08Rik	
1915772	1110013H19Rik	
1915879	1110013I04Rik	
1913377	1110014L15Rik	
1915766	1110015O18Rik	
1920971	1110017D15Rik	Smrp1|Cbe1
1915844	1110018F16Rik	
1915753	1110018N20Rik	
1915779	1110019B22Rik	
2443389	1110019B24Rik	
1923561	1110019D14Rik	
1915781	1110020A21Rik	
1915834	1110020C17Rik	
1915850	1110021P09Rik	
1915887	1110025L11Rik	
1915885	1110025M09Rik	
1915940	1110028F11Rik	
1915942	1110028F18Rik	
1915971	1110032A03Rik	
1915975	1110032F04Rik	
1915977	1110032L06Rik	
2147638	1110034N17Rik	
1915934	1110035D15Rik	
1915922	1110035E04Rik	
1915936	1110035H17Rik	
1915947	1110036E04Rik	
1916001	1110037P09Rik	
1916013	1110038B12Rik	
2152337	1110038F14Rik	
1916058	1110046J04Rik	
1916041	1110050P16Rik	
1916031	1110055C04Rik	
1916094	1110057P08Rik	
1916021	1110058D11Rik	
1913456	1110059E24Rik	
1916036	1110059G02Rik	
1913452	1110059G10Rik	
1916064	1110060G06Rik	
1916143	1110064A23Rik	
3026937	1110065F06Rik	
1916155	1110065H08Rik	
1916170	1110065P20Rik	
1916173	1190001L17Rik	
1916174	1190001M18Rik	
1916168	1190005I06Rik	
3698433	1190007I07Rik	
3036227	1190028D05Rik	
1921369	1200007C13Rik	
1915687	1200009P19Rik	
1918989	1200015M12Rik	
1919001	1300002E11Rik	
1921410	1300014J16Rik	
1916196	1500002C15Rik	
1923933	1500002F19Rik	BC002195
1916228	1500002I01Rik	
1916195	1500002J14Rik	
2442808	1500004A13Rik	
1917015	1500004F05Rik	
1919269	1500005C15Rik	
1916206	1500006G06Rik	
1917034	1500009L16Rik	
1919052	1500010C09Rik	
1913486	1500011B03Rik	
1916204	1500012K07Rik	
1916232	1500015A07Rik	
1916244	1500015L24Rik	
1916252	1500026H17Rik	
1925555	1500032F14Rik	
1916275	1500032P08Rik	
1917508	1500035N22Rik	
1923940	1500037F05Rik	
2443785	1520401A03Rik	
1924911	1520401O13Rik	
1917026	1600002D24Rik	
1917033	1600010F14Rik	
1917031	1600010M07Rik	
1915162	1600012H06Rik	
1919275	1600012P17Rik	
1919494	1600014C10Rik	
1919490	1600014C23Rik	
1920498	1600015H23Rik	
1917017	1600017G08Rik	
